7797	8833	81.69
5040	8694	35.28
3700	9868	34.57
5481	8481	70.03
3534	6616	42.56
9677	9930	37.36
6283	7618	56.24
9193	9568	35.63
8086	9970	30.78
8215	8792	57.52
5815	6705	35.43
1525	6179	46.19
2287	7091	35.22
8777	9379	69.42
2183	8074	41.74
2520	6379	46.58
4061	6989	82.6
5584	5847	44.36
2892	5236	17.55
3290	7221	43.38
3220	8354	97.13
4282	8699	61.61
533	4311	60.0
6525	9012	89.08
4989	5466	86.68
9046	9734	45.35
9791	9904	85.93
9736	9944	20.6
2385	7487	71.35
5874	6926	15.8
6652	8197	94.61
9638	9819	50.31
7769	9902	69.21
5311	6517	10.95
6820	7579	71.39
5929	7041	65.93
9530	9782	97.15
3372	6764	25.3
7285	7731	2.76
7817	9871	15.93
5409	6188	49.49
8024	8462	88.63
9308	9445	87.43
1316	5449	50.5
2262	2507	48.69
5139	8629	74.11
1943	5994	24.63
1354	3698	21.48
9700	9843	97.71
4501	5536	45.06
7818	9902	1.82
4029	6892	70.77
9422	9993	93.72
1191	8950	76.16
366	4014	10.97
4512	6122	82.8
7486	7526	74.26
4977	6960	26.01
3115	4057	37.98
3147	4701	49.78
6340	7516	32.82
7824	9273	84.62
2420	4039	7.68
9702	9916	99.17
79	7917	55.83
1118	4802	56.11
2906	3088	91.45
3971	5945	93.6
5728	7788	34.1
1587	4906	90.02
8619	9208	11.81
604	5583	80.99
2582	3116	60.79
7422	8973	72.68
3715	7405	63.09
9750	9873	45.79
720	9490	82.25
4630	5276	67.29
9880	9892	41.46
2617	4451	72.36
8975	9669	44.15
1921	3978	22.69
3024	8472	24.17
1106	5134	49.43
6510	9711	82.33
8867	8872	75.02
6623	9204	89.27
7778	9285	50.78
2057	3991	79.28
660	1535	63.53
1517	8790	80.27
683	7667	58.32
4556	7168	7.97
2656	5828	84.64
5334	6091	72.03
6865	7134	50.89
2296	5323	8.12
8265	9758	58.85
7074	9737	29.51
1460	5196	59.48
2819	3761	39.51
2690	3686	29.12
3104	6002	51.81
9473	9947	63.76
9083	9844	60.87
4325	9350	38.64
8192	9128	64.96
7376	8506	78.26
4339	4395	20.47
9264	9938	61.86
751	7860	20.74
1484	1549	97.1
5891	8092	59.63
9235	9399	90.17
1244	5399	98.3
9710	9789	50.41
7041	7466	38.9
6195	6350	76.17
9073	9737	37.52
5071	7757	31.46
9907	9941	67.36
1204	7025	58.08
9394	9655	6.62
5473	9980	31.38
5199	9101	82.47
5675	9072	20.66
6764	9928	81.91
4022	7130	65.28
4861	6064	73.87
1790	8655	19.38
9966	9998	77.79
5650	6473	88.14
4434	7064	44.43
700	1635	74.36
2590	3209	38.58
6987	8620	26.81
2690	5927	45.85
1646	4469	62.1
3715	5798	48.78
1939	9533	55.47
275	3683	86.87
3436	3686	31.2
518	7570	88.12
3679	8579	86.33
1108	5530	8.58
6750	6800	16.89
1867	5466	38.25
2071	7222	87.5
4405	9870	24.38
9093	9662	36.68
3920	4982	19.08
4979	9432	85.6
6853	9341	43.58
5123	8396	24.18
7859	9602	38.71
721	4980	49.17
5184	7115	87.43
7160	8147	4.41
1835	9241	34.07
2351	7290	51.46
1671	4090	38.28
5081	6364	51.5
5174	8064	32.45
8708	8788	99.15
3505	9678	89.86
4545	9793	33.19
1614	2758	19.8
3227	7435	33.05
8334	9621	1.68
7833	7851	90.23
3386	7914	82.72
4032	9982	78.22
2105	6951	81.22
2315	5677	91.36
5920	9637	56.05
7222	9169	90.3
8088	8227	54.15
3081	3857	62.14
2406	2540	72.25
8837	9106	66.39
9468	9722	9.95
9691	9854	22.15
274	5421	8.3
9568	9627	41.8
4241	6474	81.56
880	9814	68.17
5440	8921	51.57
4255	6059	96.33
8048	8991	37.34
1909	9569	70.74
9978	9993	52.23
618	2540	53.78
7084	8301	17.47
6624	8550	36.91
3249	8693	47.43
7624	8317	82.67
286	7499	61.9
2178	4899	18.36
5502	5711	5.74
9564	9861	41.1
3837	5573	57.18
3002	3893	40.55
562	9823	77.74
796	6280	49.69
5834	9308	66.17
2875	6463	33.95
9089	9382	94.4
9292	9675	21.4
530	7468	72.08
4712	6054	43.18
5839	6182	54.5
8560	9904	25.95
3717	6094	35.54
8464	9449	39.19
14	1107	4.33
2007	5325	78.81
1525	4123	94.01
7088	7962	48.82
6499	9310	53.87
5378	7330	22.24
